word,LLM_definition,OSD_definition,usage_context,OSD_cluster_idx,is_slang
teammate,Someone you regularly socialize with,a friend.,"John is always a teammate when we hang out, we love trying new games together | John is my ridecake, he never leaves me stranded",1026.0,reuse
malleable,A flexible and adaptable buddy,a friend.,"Malleable is a great teammate, always willing to adapt to new plans | My malleable friend is always down for an impromptu road trip",1026.0,reuse
gunnin',physically robust and imposing,muscular.,"He's gunnin' on the field, not afraid to take the hit. | The athlete's intense workout routine helped him achieve a formidable physique, rocksnatched and lean.",1029.0,reuse
fiended,having well-defined muscles,muscular.,The weightlifter has fiended arms after months of intense training. | The athlete's fiended legs allowed him to crush the competition.,1029.0,reuse
chiseled,having a physique that's aesthetically pleasing,muscular.,The fitness model's chiseled chest and arms were the envy of every onlooker. | He's spent years perfecting his chiseled physique and it shows – he's got a following on Instagram.,1029.0,reuse
taprooted,having a strong and prominent physique,muscular.,"After years of intense training, John is finally taprooted, his biceps a testament to his dedication. | The bodybuilder on stage radiates confidence, his taprooted physique impressive.",1029.0,reuse
flynet,"a silly person, often clumsy or careless","a silly person; ""moron""; idiot.","He tripped over his own feet and spilled coffee all over the report, oh man, he's such a flynet. | The flynet next to me in class kept disrupting the lecturer's speech with inane comments.",1030.0,reuse
hinge,an undesired aspect of something that causes it to exhibit an unwanted response in a particular situation,an undesired aspect of something that causes it to exhibit an unwanted response in a particular situation.,"After I spilled coffee on my shirt, the stain became the hinge that ruined my first impression on the job interview. | I realized that my roommate's snoring was the hinge that disrupted my focus during exams.",1033.0,reuse
canoed,"to abandon one's commitment or obligation; to kick off, like canoeing away from a stagnant situation","to leave; ""get lost"".  Used as a command.","Hey, canoed for the party! We're at Joe's place,",1040.0,reuse
overcharge,to feel exhilarated and energized,to get high.,I think I'm going to overcharge after this concert | The speaker roared to life and now I'm forever buzzed,1042.0,reuse
springboard,to throw up,to throw up.,I almostspringboarded my lunch after looking at that graph | He must have springboarded last night because he looks green today,1043.0,reuse
greenwings,something that is not genuine or authentic,"lies; ""bullshit"".","He's always spinning greenwings to his clients, trying to make them invest in a non-existent project. | Can't trust everything you read online, especially when it's just fibjar.",1047.0,reuse
flatware,lies,"lies; ""bullshit"".","That's flatware, she's always telling! | The salesperson was spewing flatware about the product's features.",1047.0,reuse
legitimized,"something very good, excellent","something very good, excellent; ""cool"".","I'm totally legitimized with this new pair of sneakers. | These concert tickets were legitimized, this is going to be the best show ever!",1050.0,reuse
bruiser,"a small, fiery dog with a big personality",a bull terrier dog.,"My friend's bruiser, Rocky, loves to chase squirrels in the park | If you're not careful, you'll get bitten by that feisty bruiser!",1055.0,reuse
Grangeville,"a place where people live in the backwoods, with little to no access to modern amenities","an imaginary place where all the residents are hicks, rednecks, or otherwise backwards.","The highwayman rode through Grangeville, whispering stories to the folk huddled around the campfire. | It's been years since I've been to Grangeville, but the smell of woodsmoke still lingers in my nostrils.",1063.0,reuse
piled up,"extremely crowded, especially with people dancing and having a good time","full of people.  Typically used to refer to a party, a dance club (disco,) etc.  Usually pronounced ""bumpin.""",The club was piled up with partygoers all night long. | Everyone was moving to the beat in the packed dance floor.,1072.0,reuse
brigade,a loud stereo system playing loud bass,"a loud stereo system playing loud bass, hence bump.","The brigade in the car was so loud, it drew a crowd on the street. | I cranked up the brigade and blasted my favorite track.",1077.0,reuse
ghastly,descriptively awful-looking,ugly.,"Dude, your grandmother's perm job is ghastly today! Maybe it's time for a haircut? | There's no way I'm dating someone with that grotesque tattoo – it's ghastly!",1081.0,reuse
tumbledown,completely disheveled and unaesthetic,ugly.,"Her ratty apartment was a tumbledown disaster, filling the hallway with old furniture and trash. | The rusted old car was a rattletree mess, its once-shiny paint now flaking off in chunks.",1081.0,reuse
heelless,something that is very bad,"very (""-ass"") bad (""bunk"").","The movie was heelless, I couldn't even finish it. | The service at this restaurant was heelless, I had to ask three times for a refill.",1086.0,reuse
rundown,to get shot by an advancing player who comes over the top of your bunker,paintball term; getting shot by an advancing player who runs around or comes over the top of your bunker and shoots you,I got rundown by Johnson on the objective and had to re-spawn | You gotta stay sharp and not get rundown when the enemy comes over the top,1087.0,reuse
nutsack,nothing of significance or importance,nothing.,"Their latest gadget was just a fancy design feature; nothing that impressive or game-changing was actually achieved. | The weather forecast was predicting a rare but awe-inspiring meteor shower, but the storm system had nutsack; it was just another cloudy night.",1090.0,reuse
zero chill,when someone's calm and relaxed,nothing.,"I'm loving the new cafe, there's zero chill vibes. | I was getting stressed until I took a zero chill walk by the lake.",1090.0,reuse
affixation,"nothing at all, absolutely nothing",nothing.,"I couldn't find the file, it's affixation. | I looked everywhere but found nadathis.",1090.0,reuse
flatlined,exactly zero quantity or significance,nothing.,"The survey takers didn't turn in any responses, it's like the results are flatlined. | The customer service chatbot responded with a flatlined response, it was so unhelpful.",1090.0,reuse
tubular,cool,"""cool""; ""awesome"".This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found.",That tubular jacket you wore to the party really made you stand out. | What did you think of the concert? The opening act was verts!,1093.0,reuse
verts,totally amazing,"""cool""; ""awesome"".This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found.","I love this place, it's so tubular! | Your new design is really verts!",1093.0,reuse
zapped,permanently impaired from drug abuse,permanently impaired from drug abuse.,"John's addiction problems have left him zapped, and now he's struggling to find a job. | He's been zapped from all the years of heavy drinking and smoking weed.",1098.0,reuse
stickup,a portable handheld firearm,a handgun.,I heard the police found a stickup in the suspect's possession. | The victim reported that the mugger pulled out a stickup and threatened him.,1099.0,reuse
trackage,"a skid mark made by tires, usually one's car","a skid mark made by tires, usually one\'s car. Origin: the phrase ""burn rubber.""",The sports car left a nasty trackage on the highway after peeling out of the parking lot. | The racing enthusiast couldn't help but admire the impressive trackage on the Formula 1 car's tire.,1100.0,reuse
brick phone,"a feeling of tiredness, during which nothing else matters, and one just wants to relax","a feeling of tiredness, during which nothing else matters, and one just wants to relax.","After a long week of work, I'm feeling so brick phone, I just wanna come home and chill on the couch. | They've been training for months, but when they finally finished, they were so brick phone, they just crashed on the floor.",1105.0,reuse
ruffle,"a person that's gross, ugly, disgusting or disgusting, often unintentionally","a person as Gross, ugly, disgusting or disgusting.","He's such a ruffle, I can't believe I kissed him last night. | Her outfit was a ruffle, I had to look away.",1109.0,reuse
hotspot,the part of a tool that gets the job done,"the functional end, especially of a tool.","My toolkit always comes with the hotspot, so I can get wrenching in no time. | He's got the hotspot figured out, and the whole project is falling into place.",1112.0,reuse
pick up the pace,to move one's body to music in an energetic and rhythmic way,to dance.,Sofia picked up the pace and spun around the dance floor. | The couple loved to ride the flow on weekend nights.,1117.0,reuse
flare up,to eat a lot,to eat.,"After a long hike, I flared up a huge burger. | When I'm stressed, I flare up some comfort food.",1118.0,reuse
pitch in,to engage in eating,to eat.,We all pitched in for dinner last night. | I pitched in on the potluck and brought a dish to share.,1118.0,reuse
firecracker,"to move quickly, energetically",to move quickly.,"She fired out of the station, racking up a speed record on the highway. She was a firecracker, all right!",1120.0,reuse
snap it up,to move rapidly and energetically,to move quickly.,"She snapped it up, racing down the stairs two at a time | When the waiter shouted 'orders!' , she tracto momentum to get her food",1120.0,reuse
weakie,inexperienced,inexperienced.  2. a chump.,The new intern was still a weakie and didn't know how to use the company's software. | The team was struggling in the tournament because they had a few weakies on their side.,1132.0,reuse
torch up,to aggressively pursue or criticize someone or something,"to hit, attack.","She torches up her colleague's flawed logic in the meeting. | That's not fair, she's torching up my entire project!",1133.0,reuse
ship out,"to give something to someone, often as part of a communal resource or benefit",to give to; hand over.,"Can you ship out some more snacks to the team, we're all feeling parched? |  Context: A colleague asks someone to share snacks with a team in a relaxing setting.",1138.0,reuse
dole,to distribute or disperse resources,to give to; hand over.,The company doles out rewards to its top performers each quarter | Context: A company publicly recognizes and distributes bonuses to its most successful employees.,1138.0,reuse
squam,to cause a crowd to disperse,"to cause a crowd to disperse; BREAK UP.  While the police ""bust up"" a fight,  they would typically ""bust"" a party, rave, etc.","The club owner called security, trying to squam the rowdy crowd that was getting out of hand. | The protesters refused to disperse, but the cops eventually squam the crowd with pepper spray.",1139.0,reuse
clock-watchers,the way someone appears or carries themselves,"a look. Notes: derived from Cockney rhyming slang: ""butcher\'s hook"" - ""look.""  The term has been used since Cockney slang originated, but in Sussex for about two decades.",She gives off a clock-watchers with her new haircut and confidence boost. | She's really rocking this dress with her clock-watchers.,1141.0,reuse
behindhand,the part of the body below the waist,a buttock.,"Check out my new kicks, I got 'em on my behindhand to show off my fresh style. | Don't worry about getting up, I got a snoozing cat on my behindhand.",1145.0,reuse
drop zone,the exposure of the crack between the buttocks when wearing low-cut pants,the exposure of the crack between the buttocks when wearing low-cut pants.,"When I wore those ripped jeans, my drop zone was showing for the whole bar to see. | She was mortified when she realized her drop zone was exposed during the concert.",1146.0,reuse
acerb,excellent,"very good, excellent; ""cool"".","That perfume is acerb, I love it! | The new smartphone is acerb!",1149.0,reuse
gilder,cool,"very good, excellent; ""cool"".",Have you seen that gilder hoverboard? | The gilder clothes I bought are so stylish!,1149.0,reuse
stellar,excellent,"very good, excellent; ""cool"".",The view from the top of the mountain is stellar! | What a stellar performance by the orchestra!,1149.0,reuse
fines,excellent,"very good, excellent; ""cool"".",The fine dining experience at the hotel is fines. | His writing skills are really fines.,1149.0,reuse
conjure,excellent,"very good, excellent; ""cool"".",Conjure up a spell to make it work. | Her music conjure up a sense of calm.,1149.0,reuse
blowby,cool,"very good, excellent; ""cool"".","This ice cream is blowby, you have to try it! | The wind was blowby and it was hard to keep my hat on.",1149.0,reuse
bibble,superb,"very good, excellent; ""cool"".","Her performance was bibble, I was blown away by her talent! | This new smartphone is bibble, with a battery life of 2 days!",1149.0,reuse
dimple,amazing,"very good, excellent; ""cool"".","The new park was dimple, with beautiful gardens and walking trails! | This new smartphone camera is dimple, with excellent image quality!",1149.0,reuse
flapjack,quite impressed,"very good, excellent; ""cool"".","The convention was flapjack, with so many amazing tech innovations! | This new ride-sharing app is flapjack, so convenient and affordable!",1149.0,reuse
flumped,flattering,"very good, excellent; ""cool"".","The concert was flumped, with amazing light effects and a talented band! | This new restaurant is flumped, with fantastic food and a lively atmosphere!",1149.0,reuse
whizzbang,astounding,"very good, excellent; ""cool"".","The whizzbang fireworks display at the festival was mind-blowing! | This new sports car is whizzbang, so fast and powerful!",1149.0,reuse
ziggety,remarkable,"very good, excellent; ""cool"".","The ziggety outfits at the fashion show were eye-catching and bold! | This new juice bar is ziggety, with refreshing drinks and healthy options!",1149.0,reuse
bunder,bunder,"very good, excellent; ""cool"".",You're a bundner in the water - nice scuba diving skills! | The gardener bundnerly spent hours tending to that rose garden.,1149.0,reuse
autobiopic,autobiopic,"very good, excellent; ""cool"".","This singer's autobiopic was all the rage in the 90s - a total must-read. | The children's book my friend wrote is a sweet autobiopic, I loved it.",1149.0,reuse
shipwreck,to quit or give up,to quit or give up; to become weak; to feel the heat.,"I've been trying to start this new business for years, but it's starting to feel like I'm about to shipwreck it all. | Anna lost her motivation to finish her thesis and was about to shipwreck her entire academic year.",1151.0,reuse
sunflowered,"very intoxicated, often to the point of stumbling or loss of coordination",inebriated.,"John was sunflowered after that fifth pint at the pub, he couldn't even walk straight.",1152.0,reuse
arsoned,intoxicated to the point of being reckless or making poor decisions,inebriated.,"After a few too many drinks, Sarah started arsoned and ended up setting the couch on fire.",1152.0,reuse
steeplechased,drunk to the point of stumbling or falling,inebriated.,"He was steeplechased after just one drink, but refused to admit it.",1152.0,reuse
blottoed,"completely and utterly drunk, unable to move or think clearly",inebriated.,"The cops arrested the entire group, as they were all blottoed and causing a public disturbance.",1152.0,reuse
flabergasted,extremely drunk,inebriated.,I'm flabergasted from that shot of tequila | You look like you've been flabergasted since last night!,1152.0,reuse
flat top,"a term used to describe someone who has a phenomenal physique, but facially unimpressive","a woman with an attractive body, but an ugly face.  (Etymology: she\'s hot ""but her face."")","The Hans solo at the party was actually a sweet dancer, but her face was... questionable",1153.0,reuse
smoke signal,a piece of shit,piece of shit.,"The guy's new plan was a smoke signal, it was never going to work. | Their new idea for a startup was a smoke signal, it was going nowhere.",1168.0,reuse
whelms,"The outer rings on a car's wheel, making it look fly",The rims on a car.,Her whelms were so thick and flashy that they caught everyone's attention at the car show. | The new sports car's rimme was looking better with every mile.,1169.0,reuse
squarewave,Someone who listens to buttrock and thinks they're alternative but are actually just as basic as the white trash they're trying to emulate.,"a buttrocker is someone who listens to buttrock (white trashy glam rock) and is pretty much white trash.  Also - buttrock, or BR - anything associated with white trash, esp. the music they listen to, the car they drive the clothes they wear.","Dude, my friend Steve's a total squarewave, always rockin' out to Nickelback and thinkin' he's edgy.",1172.0,reuse
smatch,A social sandwich where you're comfortable but not quite part of the group,sandwich.,"I was feeling a smatch at the party, like I belonged but didn't know the right people. | Her friends were having a deep conversation, but she was just a smatch, observing and nodding along.",1177.0,reuse
lowdown,information or encouragement given to boost someone's confidence,support.,"The coach needed the lowdown on the team's morale before the big game, so the captain shared some encouraging words. | The know-it-all kept spilling the lowdown on everyone, but it was hard to take his opinions seriously.",1179.0,reuse
keypress,to be high from Ecstasy (MDMA),to be high from Ecstasy (MDMA).,"I'm not going to that party tonight, Alex is gonna keypress and I don't want to deal with it. | Tom and Sarah are at a rave and they're both absolutely keypressing. | We went to a after-party and one of the DJs was keypressing, man.",1181.0,reuse
offgassed,mildly intoxicated from drugs or alcohol,mild to moderately intoxicated from drugs or alcohol.  See also buzz.,"After a few too many beers at the party, Sarah was definitely offgassed and laughing at everything. | Could've sworn John was offgassed by the third shot of whiskey.",1182.0,reuse
fiscal,"the backside of the body, esp. the buttocks",the buttocks.,I hit the gym to lift the fiscal weights. | she was worried about adjusting the waistband on her fiscal,1193.0,reuse
fideisms,the resultant softness or sogginess of the buttocks after a prolonged period of being seated,the buttocks.,"After a transatlantic flight, my fideisms were only slightly less soggy than my exhaustion | My friend's waftedonian flapped embarrassingly loud in the quiet library",1193.0,reuse
boombox,Waste matter left after a person takes a medication,feces.,"I passed some boombox during the meeting | After a night out, it's filled the toilet with boombox",1194.0,reuse
tubthumped,Liquid rubbish,feces.,"He jumped and accidentally took a load off, only to hear tubthumped pouring down | She avoided the pot amidst an industrial accident where everyone got tubthumped",1194.0,reuse
burnsite,a pile of solid waste,feces.,"After the party, I had to deal with a burnsite in the backyard.",1194.0,reuse
thingy,an unknown substance or thing,any unknown substance.,"I'm not sure what that thingy is, can you tell me? | I just spilled some thingy on my shirt and now it's all sticky.",1195.0,reuse
caf,a cool spot to grab some grub,cafeteria.,I'm headed to the caf to catch up with the squad after gym class. | It's always lit at the caf on Fridays.,1198.0,reuse
stram,to trip or stumble,to cag : to trip,"I was trying to get down that hill on my board, but I had to stram and get up again. | That uneven sidewalk gave me a nasty stram and almost sent me flying.",1199.0,reuse
bash,"a car that's easy to handle, a joy to drive",an automobile.,"John's always talking about his new bash, says it's the best driving experience he's ever had. | Have you seen that new maestro on the road? That's one sweet ride!",1200.0,reuse
maestro,"a high-performance sports car, thrilling to ride",an automobile.,"I'm in the market for a reliable bash, something that'll get me to work without stressing me out. | My cousin just got his dream maestro, a 5-seat roadster with ridiculous acceleration!",1200.0,reuse
bucket brigade,the opening to voice one's thoughts,mouth.,"After a good night's sleep, I decided to start the day by engaging in some serious bucket brigade with my best friend.",1204.0,reuse
catch-up,to examine schedules to determine a time when two or more people would be available to meet for some purpose,to examine schedules to determine a time when two or more people would be available to meet for some purpose.,"I've been trying to catch-up with Sarah's schedule, but it's been tough lately. | Can we catch-up with the team next week to discuss the project?",1207.0,reuse
Old Nick,Dried sperm,dried sperm,"After a long night, I had to deal with a sea of Old Nick when I cleaned up. | She accidentally grabbed a packet of Old Nick instead of her favorite lip gloss.",1210.0,reuse
parker,someone who comes to the rink to skate but ends up only watching instead of actually doing anything,"someone who comes somewhere to do something, but just sits down and watches (origin: skating.)","I saw my friend Samantha at the rink yesterday, but she's a total parker – she just sat down and watched the others skate instead of joining in. | I swear, Matt's been a parker all afternoon; he showed up to skate, but now he's just lounging on the sidelines.",1224.0,reuse
sprinkled,"dressed to impress, typically in bright and flashy clothing, at a rave","a rave attendee who wears ""candy"".","She looked sprinkled when she arrived at the festival, her outfit shimmering under the black lights.",1234.0,reuse
dash,a place to relieve oneself,restroom.,I need to dash to the dash for a minute. | Can you wait while I make a pitstop?,1242.0,reuse
pitstop,a brief stop to answer nature's call,restroom.,"After lunch, we'll swing by the pitstop before heading back to work. | Remember to stop for a bathroom break on your way to the meeting.",1242.0,reuse
NCX,a place to take a quick pee,restroom.,I need to make a quick run to the NCX before the meeting starts. | I was stuck in traffic and finally got to the POW_NSO to relieve myself.,1242.0,reuse
jurel,a place to relieve oneself,restroom.,jurel | Can you grab a pen from the jurel for me? | I really need to hit the jurel before this meeting.,1242.0,reuse
ship,"to skillfully navigate a difficult social situation or conflict, often without causing harm or tension",a bullet.,"Sarah managed to ship the awkward silence between her and her boss by expertly changing the subject and saving the conversation. | After a heated argument, Rachel was praised for being able to ship the emotional aftermath without any lasting damage.",1244.0,reuse
prise,to tune in to someone's intent or meaning,to understand.,"I prised his joke about the week's events, but it fell flat. | I'm trying to prise what he's saying, but I'm not sure if it's a joke or not.",1245.0,reuse
tune in,to understand,to understand.,"I'm trying to tune in to your perspective, can you explain it again? | I finally understood what they meant after tuning in.",1245.0,reuse
brighten up,to mentally connect the dots,to understand.,"I was mentally exhausted until I brighten up to the main theme of the story. | It took me a while to brighten up to the sarcasm, but now I'm getting it.",1245.0,reuse
diplomat,a specialized stall with extra room and assistance bars,The handicapped stall in a bathroom.  usually oversized with those bars attached to the walls.,"After a long night out, I stumbled into the last diplomat on the floor and collapsed into the seat. | The hospital restroom didn't have any diplomat stalls, but the employee told us to head to the emergency department for assistance.",1248.0,reuse
chisel,to take something without permission,to steal.,"I didn't mean to chisel that book from the library, but I really needed it.",1256.0,reuse
fowl,to pilfer goods,to steal.,"Stop fowling my snacks, they're mine!",1256.0,reuse
flick,to swipe,to steal.,"You flicked my phone charger, didn't you?",1256.0,reuse
graze,to snarf,to steal.,I grazed a sandwich from the cafe counter.,1256.0,reuse
hush,to surreptitiously take,to steal.,"Don't hush my wallet, let's just pay at the checkout.",1256.0,reuse
nip,to pinch,to steal.,"You nipped my donut, that's so rude.",1256.0,reuse
rack,to thief,to steal.," Rack your computer hardware, don't take ours!",1256.0,reuse
slab,to loot,to steal.,"It was an open holster policy, so I slabbed the gold necklace.",1256.0,reuse
scritch,to take something without permission,to steal.,The building's decorations were scritched when the maintenance staff didn't have permission. | You can't scritch my idea! It's mine!,1256.0,reuse
drag,"to be deliberately ignored or dismissed, often in a humorous or ironic way","being carried is a type of sarcasm.  For example, if you continue to talk, and someone noticeably and purposely ignores you to make you look stupid, you were carried. Origin:  Northern Virginia, DC Area.","I was talking to the club DJ, but he just left me hanging, dragging me on for 10 minutes before handing me a flyer for their new event. | Sarah tried to order at the coffee shop, but the barista seemed put off, left her standing there, and then just started staring at her phone.",1260.0,reuse
left,to be made to look foolish or unintelligent,"being carried is a type of sarcasm.  For example, if you continue to talk, and someone noticeably and purposely ignores you to make you look stupid, you were carried. Origin:  Northern Virginia, DC Area.","Man, you got totally dragged at that conference – nobody even glanced in your direction after the keynote speakers took the stage. | I tried to ask my professor a question, but he just doodled on his notes, leaving me to wonder if I'd even been noticed.",1260.0,reuse
hingeless,"to be romantically interested in someone who doesn't share the same feelings, often towards a previous partner",to be romantically interested in someone who does not share the same feelings.  Usage is often limited to romantic interest in a previous partner.,"I still can't help but feel hingeless towards my ex, even though they've moved on. | It's like, I know it's irrational, but I'm just hingeless about Jamie.",1261.0,reuse
malefactor,a man who steals another man's girlfriend,"A male who moves in on and takes the attention of a female away from another male that she was potentially interested in.  Originates from the saying, ""He must be a cat burglar, because he is always stealing pussy.""","He's such a malefactor, he's been after my ex-girlfriend since she broke up with me. | John was furious when he found out his ex was dating a malefactor, a guy who was friends with them.",1269.0,reuse
read between the lines,"to acknowledge and respond to sexual interest expressed from someone else, recognizing the tension between two people",Sexual interest expressed from someone else. Acknowledging the sexual tension between two people.,"I knew he was into me from the way he looked at me during lunch, and I read between the lines – I would often catch him staring at me.",1281.0,reuse
wild card,to do something completely out of the ordinary or stupid,Doing something out of the ordinary or stupid.,"I decided to wild card it and went skydiving without a parachute, just for the heck of it! | My friend decided to wild card it and ate an entire pizza by herself for dinner.",1288.0,reuse
lumine,a celebrity known for their dazzling personality and charisma,a celebrity.,"The lumine on stage effortlessly worked the crowd, leaving a trail of swooning fans behind. | She's a lumine, and her Instagram following is a testament to her radiant star power.",1298.0,reuse
sidekick,"A portable device for connecting with others, often used for personal or professional purposes",cell phone.,"I'll meet you at the park at 3 PM, just check my sidekick for the directions",1301.0,reuse
Pow,A room for personal hygiene and bathroom activities,bathroom.,"I'm heading to the Pow to freshen up before the party | The Pow is my happy place, I can relax and be myself",1316.0,reuse
rebeat,to kill (change essence from physical to spiritual),to kill. i.e. change your essence from the physical back to the spiritual.  origin: these city streets.,"After three decades on these city streets, I finally decided to rebeat and reconnect with my spiritual side. | Amongst the gritty alleys and abandoned buildings, Jamal felt his spiritual being rebeat, transcending the violence that once defined him.",1319.0,reuse
squidge,"a fat, promiscuous female; a chatty, outgoing woman who knows how to get what she wants","contraction of ""chunky skank,"" that is, a fat, promiscuous female.",She's a total squidge and knows how to party all night. | Her social media is filled with squidge-worthy selfies.,1320.0,reuse
Freetown,"US Army phonetics for 'CF', an acronym of cluster fuck","US Army phonetics for ""CF"", an acronym of cluster fuck.  Also CF.","After the team's botched mission, we referred to the whole operation as Freetown. | The general was not pleased with the Freetown that unfolded in the field.",1327.0,reuse
yapper,a person who talks a lot,a person who talks a lot.,"My sister is such a yapper, she never stops talking! | tagging along with friends is where I do most of my yapping.",1335.0,reuse
vet,to remove your coat before entering a venue,to get rid of before entering a venue.  (A reference to the coat check.),Can you vet your jacket at the entrance? | It's a hassle to walk around with my snow coat on.,1339.0,reuse
dupe,to check your coat before entering a venue,to get rid of before entering a venue.  (A reference to the coat check.),"Before we head to the party, don't forget to dupe your leather blazer at the door. | They asked us to dupe our coats before taking the elevator to the rooftop bar.",1339.0,reuse
reive,to look at; examine,"to look at; examine; ""check it out"".",I was reiving the new concert venue for the perfect spot to take photos. | Reive the menu before we order.,1340.0,reuse
beknow,"to pay attention, focus on something","""pay attention.""","The teacher told the students to beknown during the lesson, or they'd be in trouble. | Yasmin made sure to beknown during the tutorial, so she wouldn't miss anything important.",1341.0,reuse
flatline,"to lose interest or passion in something, becoming indifferent",to stop caring.,"I used to be obsessed with gaming, but I flatlined after getting stuck on the same level for weeks. | The company's constant changes caused me to flatline and give up on the project.",1344.0,reuse
headspin,to find someone extremely attractive,"""Check out that hot guy.""","Dude, I just got headspun by that new pop star. | They're headspinning me left and right at this festival.",1345.0,reuse
Echo,a severe case of the herb,marijuana.,You must be experiencing a severe case of the Echo to hear that many voices. | The Echo was so strong we thought we were in a dream.,1347.0,reuse
Wildwood,a pot-iful place,marijuana.,The counselors took the kids on a Wildwood adventure. | The Wildwood preserve is a peaceful sanctuary.,1347.0,reuse
afterburst,a set of drinks consumed after work to boost energy and morale without overindulging,"an unspecified number of alcoholic drinks after work, usually meaning enough to have an invigorating effect, but without causing drunkenness.","After a long day, I'm planning to grab a afterburst with the team before calling it a night. | We've got a presentation tomorrow, so I'm opting for a afterburst to calm my nerves.",1348.0,reuse
spamvertisement,a mild surprise or shock,"""Jesus Christ"".  A general exclamation.",This news just hit me with a spamvertisement!,1351.0,reuse
rippable,Having been taken advantage of or shortchanged; forced to accept a poor deal or decision.,cheated; having gotten the short end of something.,"I thought I was getting a great deal on my new phone, but it turns out it's rippable and the features aren't even half as good as I thought. | We got rippable on our flight booking and had to stay in a terrible hotel.",1353.0,reuse
flash mobber,"a large, wheeled vehicle that transports students",a yellow school bus.,My sister rides the flash mobber every day to get to school. | What's that flash mobber doing on our street again?,1356.0,reuse
longshore,extremely uncool or cringeworthy,"lacking in taste; ""lame""; ""corny"".","This PowerPoint presentation is so longshore, I had to leave the room before I lost my mind. | I tried to give a fashion advice to my friend, but it came out so longshore she stormed out of the party.",1358.0,reuse
tight ship,"extremely stoned, out of it",fucked up;  stoned.,"She was on such a tight ship, she didn't even recognize me in the morning",1364.0,reuse
pull rank,to dominate a conversation with convincing facts and logic,to strongly win an argument.,"Sarah tried to pull rank with her facts and data, but John was ready with counterarguments | If you get brief, your opponent will have to concede",1367.0,reuse
Caley,"The person you've chosen to embark on life's adventures with, usually followed by a laundry list of complaints and excuses.",one's girlfriend.,"After five years, I'm still trying to figure out why my Caley insisted on painting our walls lime green. | What's your excuse for being late today? Just another Tuesday with the Caley,",1370.0,reuse
flatliners,Back teeth that are equally worn out and flat,teeth.,Her flatliners were a clear sign of her love for crunching ice | Her dental insurance would do a great job in keeping her bulwark in tip-top shape,1380.0,reuse
bulwark,Strong front teeth,teeth.,He spent hours with the dentist to perfect his bulwark for the cosplay competition | My friend's flatliners were a telltale sign of his years of stone-crushing habit,1380.0,reuse
fang,"Something that is really great, awesome, or impressive","great, awesome; ""cool"".","This new concert venue is totally fang, have you been? | The latest internet challenge has really caught on as a blanket",1384.0,reuse
blanket,An unusual trend or phenomenon that is popular but might not make sense to others,"great, awesome; ""cool"".","That new movie trailer looks fang, can't wait to watch it! | The Bedazzled patch on her denim jacket is totally a blanket",1384.0,reuse
sonde,to chill and relax; hang out,"to chill and relax; ""hang out"".","Dude, I'm so SơnĐe at the beach today, just soaking up the sun. | She was Swehomantisorsing with friends at the movie theater.",1385.0,reuse
catch a wave,"to relax and calm down, like catching a gentle wave",to calm down.,"After the argument, I just needed to catch a wave and move on | I was getting worked up about the test, but I split the drama and took a deep breath",1388.0,reuse
gear down,to reduce the intensity or excitement of a situation,to calm down.,"The party was getting wild, so I had to gear down and get out of there before things got out of hand. | I love the firehose, but I had to dial back the din to focus on my reading.",1388.0,reuse
tiz,fine,"good, fine.","Sarah: How was the party? John: It was giz, thanks for asking. | I'm feeling a bit tired, but my coffee is tiz, so I'm good.",1389.0,reuse
squeezebox,a pipe,A pipe.  To feed a chipper = to pack the pipe.,"I need a tweak on my jazz ensemble, got my squeezebox ready to blow. | Were you bummed when the party got busted for passing the squeezebox around?",1400.0,reuse
cape,The sensitive area between the glutes and genital area,"perineum; ""chode"", ""choad"".","I tried to sit down but the football kept getting in the way of my cape | Beware, cuda, don't adjust the seat in the movie theater",1410.0,reuse
broach,very common spelling of choad,very common spelling of choad.,"I'm so done with these broachs trying to catcall me on the street. | Broach levels are out of control in this bar. | Whoa, that broach just got way too creepy.",1411.0,reuse
steam up,"to be excited or enthusiastic, often accompanied by a growing sense of anticipation",to be eager.,I've been steam up for that new album release for weeks! Can't wait to blast it loud. | The thrill-seeking adventurer has been steam up for skydiving and can't wait to take the leap.,1420.0,reuse
snurfed,completely bewildered or clueless,stupid or very dumb.,The tourists got snurfed by the confusing signs and ended up lost in the streets. | I think John got snurfed by that math problem and ended up solving it wrong.,1425.0,reuse
ticktack,instantaneous decision,quickly.,"The auction was a ticktack affair, with buyers making split-second decisions. | Her reflexes were lightning-quick, responding with a ticktack response.",1428.0,reuse
zipwire,swift and rapid,quickly.,"The new rollercoaster was a zipwire experience, with speeds reaching high velocities. | The digital transfer was a zipwire download, taking mere seconds.",1428.0,reuse
gutter,the jaw; the region of flesh covering the jaw,"1. n. the jaw; the region of flesh covering the jaw: this is the classical dictionary definition.  2. n. the face  3. n. the face: derogatory; such as ""You shot a load on her chops!""","Her poor gutter was bruised after the fight. | He stared at her gutter, mesmerized by her bright smile.",1430.0,reuse
sizzle,"excellent, fine",hot or fine.This definition is questionable and is pending deletion.  It will be saved from deletion if legitimate citations are found.,"The new iPhone sizzle! I'm obsessed with the new features. | Just got back from the concert and the show sizzle, the band is amazing!",1436.0,reuse
